entity,code,year,working_hours,productivity per hour,population,continent,health,income,income_p_hour,health_share,food_share
Australia,AUS,2013,1756.2897,60.47338,23.111788,Oceania,5843.17431641,53871.5549340191,30.67350160626638,0.10846492780033198,
Australia,AUS,2014,1746.4962,60.122875,23.469578,Oceania,6139.39306641,48732.9249252793,27.903252767042552,0.1259803936624642,
Australia,AUS,2015,1746.4835,56.053726,23.82024,Oceania,5324.34082031,44512.5960291842,25.486983432242102,0.11961425069027998,
Australia,AUS,2016,1736.081,59.619713,24.195706,Oceania,5453.99707031,39077.6893174716,22.509139445378185,0.13956805444664616,
Australia,AUS,2017,1736.8003,60.34168,24.590336,Oceania,5816.26074219,42066.3243541592,24.220587913394073,0.13826405875689332,
Australia,AUS,2018,1729.342,61.878532,24.979228,Oceania,5864.39453125,44198.1322669355,25.557774151634263,0.1326842160621601,
Australia,AUS,2019,1726.7976,61.438488,25.357168,Oceania,5555.37402344,42121.9315068553,24.393091296197827,0.1318879221513351,9.974969
Australia,AUS,2019,1726.7976,61.438488,25.357168,Oceania,5555.37402344,42121.9315068553,24.393091296197827,0.1318879221513351,
Austria,AUT,2000,1798.4323,45.390182,8.010425,Europe,2269.12646484,20391.6238651787,11.338555176738485,0.11127737937118501,
Austria,AUT,2001,1785.4202,44.377754,8.039633,Europe,2282.51586914,20142.9099925948,11.281887587356074,0.11331609335389617,
Austria,AUT,2002,1782.8479,45.44068,8.078994,Europe,2497.8659668,21920.5219775302,12.29522831281917,0.1139510258633648,
Austria,AUT,2003,1773.9779,46.49087,8.120105,Europe,3091.24023438,26718.4184396893,15.061302871749021,0.11569697665143487,
Austria,AUT,2004,1776.4658,48.04215,8.171215,Europe,3594.65039063,30611.249197044,17.231544337664143,0.11742906561869812,
Austria,AUT,2005,1752.4894,52.797462,8.227034,Europe,3710.39794922,31858.6160351506,18.179063471168842,0.11646450508478469,
Austria,AUT,2006,1735.6696,53.47992,8.267771,Europe,3882.98193359,33992.1804344707,19.58447646629906,0.11423162280147102,
Austria,AUT,2007,1724.7792,54.648876,8.29472,Europe,4478.76855469,39159.0057763079,22.703778997513364,0.11437390878293846,
Austria,AUT,2008,1717.1951,55.810387,8.321134,Europe,5057.76074219,43635.1099279055,25.410688586233153,0.11591034720770725,
Austria,AUT,2009,1673.0751,54.958294,8.342939,Europe,4928.98779297,39649.3948236994,23.69851468335127,0.12431432597866098,
Austria,AUT,2010,1665.8439,56.444805,8.362829,Europe,4800.79345703,39022.2561552357,23.424917637982585,0.12302706019692476,
Austria,AUT,2011,1671.6877,57.740795,8.391201,Europe,5167.81787109,42625.237354533,25.498325646909407,0.12123845383210345,
Austria,AUT,2012,1647.8529,58.960068,8.429641,Europe,4966.09570313,39980.6308392887,24.262257170702977,0.12421253989443937,
Austria,AUT,2013,1632.0676,58.534805,8.479542,Europe,5235.34130859,41694.0714086868,25.54677968528191,0.12556560517376666,
Austria,AUT,2014,1621.5658,61.13571,8.546066,Europe,5393.60205078,42465.7666055794,26.188124222636787,0.1270105895149755,
Austria,AUT,2015,1605.2805,62.702095,8.642422,Europe,4612.82421875,35811.6857751508,22.308678000605376,0.12880779329161798,
Austria,AUT,2016,1618.2108,62.37842,8.736491,Europe,4709.87597656,37196.1677474225,22.985984117410723,0.126622613612833,
Austria,AUT,2017,1608.1809,64.780174,8.797497,Europe,4938.91992188,38441.7327185494,23.903861013738815,0.1284780776673162,
Austria,AUT,2018,1612.6927,65.06293,8.840518,Europe,5337.21826172,41651.8073903702,25.827491741216537,0.12813893552561542,
Austria,AUT,2019,1611.3743,65.15168,8.879939,Europe,5262.05419922,40712.5753412494,25.26574697216494,0.129248866108663,11.312785
Austria,AUT,2019,1611.3743,65.15168,8.879939,Europe,5262.05419922,40712.5753412494,25.26574697216494,0.129248866108663,
Bangladesh,BGD,2000,2560.8271,1.8243959,129.193336,Asia,8.6186285,392.897659985928,0.1534260786235541,0.021936064725630294,
Bangladesh,BGD,2001,2561.9287,1.8358469,131.670488,Asia,8.41617775,388.529838563877,0.15165521138971472,0.021661599482574418,
Bangladesh,BGD,2002,2563.5498,1.8910693,134.139824,Asia,9.37759209,390.179164803481,0.15220268582396215,0.024034066746550013,
Bangladesh,BGD,2003,2565.5776,1.9046307,136.503216,Asia,10.3110857,422.010922143979,0.16448963467095246,0.024433219992543533,
Bangladesh,BGD,2004,2576.8167,1.9024031,138.789728,Asia,11.10974789,450.753571488185,0.17492651746947505,0.024647054605292693,
Bangladesh,BGD,2005,2587.2727,1.9349834,140.912592,Asia,11.61940002,473.640416971552,0.18306551797634318,0.02453211255554209,
Bangladesh,BGD,2006,2597.6511,2.0549672,142.628832,Asia,12.37925339,484.90923777848,0.18667219696227874,0.025529011257267874,
Bangladesh,BGD,2007,2591.9429,2.224288,144.135936,Asia,14.41430759,537.441578718239,0.20735085588430172,0.026820231557776245,
Bangladesh,BGD,2008,2586.7205,2.424032,145.421328,Asia,15.99568462,622.178331726505,0.24052785437255592,0.025709163762763967,
Bangladesh,BGD,2009,2581.9487,2.5682456,146.706816,Asia,18.20583725,691.200516289816,0.2677049765898974,0.026339443939834103,
Bangladesh,BGD,2010,2577.616,2.787817,148.391136,Asia,21.15062714,768.868050388871,0.29828649821729497,0.027508786623794072,
Bangladesh,BGD,2011,2491.95,3.2355232,150.211008,Asia,23.28593445,845.21449031315,0.339177949121431,0.027550325647366286,
Bangladesh,BGD,2012,2405.7834,3.3843846,152.090656,Asia,23.89686203,870.414581415607,0.36180089255566694,0.027454574567368936,
Bangladesh,BGD,2013,2319.5667,3.6154296,154.030144,Asia,27.40725899,964.944097362783,0.4160018754204322,0.028402950041256005,
Bangladesh,BGD,2014,2366.9434,3.7923138,155.961312,Asia,30.29579544,1082.66098890777,0.45740890504934334,0.027982716427755988,
Bangladesh,BGD,2015,2418.7507,4.0340605,157.83,Asia,33.53680038,1205.93183684343,0.4985763257219646,0.027809864003411493,
Bangladesh,BGD,2016,2473.509,4.1130853,159.784576,Asia,39.55920792,1590.93729063939,0.6431904192139144,0.02486534708360588,
